name_matching;username;available;created_at;full_text;retweet_count;favorite_count;followers_count;location;label
Ulrike Schielke-Ziesing;ulschzi;TRUE;2019-08-14 17:36:28;"Heute diskutierte ich mit Bürgerlobby Klimaschutz e.V. über die Einführung einer CO2-Abgabe. Meiner Ansicht nach ist eine Einführung solch einer Abgabe zu diesem Zeitpunkt nicht zielführend und schadet sowohl unserer Industrie als auch den Bürgern.
#AfD #AfDimBundestah https://t.co/dgYOg5FQjq";1;0;1660;Mecklenburgische Seenplatte, Mecklenburg-Vorpommern;negative
Kerstin Griese;KerstinGriese;TRUE;2018-12-01 04:52:28;Herzlichen Dank @larsklingbeil für den tollen Abend in #Ratingen bei „Kerstin Griese trifft...“ Munter diskutiert: Digitalisierung, Zukunft d. Arbeit, Qualifizierung u. Chancen, schnelle Netze, Weiterbildung, Demokratie im Internet, SPD. https://t.co/i9bz1Z5aHj;2;9;6705;Niederberg und Ratingen;positive
Norbert Muller;norbert_mdb;TRUE;2018-06-08 18:42:46;Rot ist die Farbe der Zukunft - nicht blau, nicht schwarz. Rot ist die Farbe der Solidarität -  auch untereinander. #LinkeBPT @b_riexinger #Riexinger;1;7;2429;Potsdam, Brandenburg;positive
Katja Kipping;katjakipping;TRUE;2019-02-13 15:08:44;"Die Initiative Neue Soziale Marktwirtschaft ist besorgt &amp; verschickt Pro #HartzIV Propaganda. Schon klar, dass die nichts von sozialen Grundrechten halten, die stören ja nur beim Profit machen. Hoffen wir, dass sie zurecht nervös sind &amp; die Sanktionsfreiheit kommt. @sanktionsfrei https://t.co/17vTsaC3tB";17;69;119692;Dresden, Berlin;negative
Franziska Brantner;fbrantner;TRUE;2019-01-22 17:20:14;Beim #AachenerVertrag ging es #Macron nicht um Pathos, sondern um konkrete Schritte zur Stärkung EU. Am Ende ist für Europa aber nicht viel mehr rausgekommen als Pathos. Der kann helfen, aber Herausforderungen verlangen mehr. Deutsche Bremse. @braunsteff https://t.co/i8M43OBGiw;1;5;9773;Heidelberg und Berlin;negative
Uwe Schulz;Uwe_Schulz_AfD;TRUE;2017-12-03 20:37:55;Gratulation #KayGottschalk zur Wahl #Stellvertretenden #AfD #BundesVorsitzenden! Wir dürfen die #Gerechtigkeitsfrage in Sozial-, Arbeits- und Steuerpolitik nicht den Altparteien überlassen und sind auch hier die Alternative zum Kartell. #AfD #Partei aller Im-stich-gelassenen!;1;0;1281;Berlin, Deutschland;positive
Tino Chrupalla;Tino_Chrupalla;TRUE;2018-12-11 22:56:04;"+++ Ja zu deutscher Wertarbeit - Ja zum Meisterbrief! +++
Am Donnerstag spreche ich im Deutschen Bundestag über die Wiedereinführung des Meisterbriefs.
#AfD https://t.co/xa4r2KqILv";7;25;12168;Sachsen;positive
Manuel Sarrazin;ManuelSarrazin;TRUE;2018-05-09 12:54:17;Die #Bundesregierung @GermanyDiplo scheint völlig ahnungslos und kann offenbar nicht ausschließen, dass russische Geheimdienste wie #FSB auch die @Telegram Nachrichten deutscher Nutzer ausspionieren wollen https://t.co/N6UmSpn1zv;2;4;5807;Harburg an der Elbe;negative
Bernd Riexinger;b_riexinger;TRUE;2020-07-17 11:18:31;Ich bin ja großer #VfB-Fan, aber warum bekommt ein Verein, der Millionengehälter zahlt, Hilfen aus dem Coronatopf? Viele Menschen sind arbeitslos und Selbstständige kämpfen um ihre Existenz. Da sind #Staatshilfen für den #Fußball grundfalsch! #Stuttgart https://t.co/LHXjLnX563;25;139;38584;"";negative
Omid Nouripour;nouripour;TRUE;2018-03-15 10:35:38;@NielsAnnen hält gerade seiner Rede als Staatsminister. Freue mich sehr für ihn und auf die Zusammenarbeit. Auch wenn die Abstraktionshöhe seiner Worte ad hoc massiv zugenommen hat. 😉;0;0;19679;Frankfurt/Germany;positive
Norbert Muller;norbert_mdb;TRUE;2019-06-19 08:37:49;"@rbbinforadio 1/2 Nur mal so zum Mitschreiben: Sie sind nicht die Regierungssprecher, die was melden müssen. Ich denke, Ihre Aufgabe wäre es, zu hinterfragen. Z.B. warum """"#Reichsbürger"""" nicht zu """"Rechts"""" gezählt werden &amp; die methodische Grundlage insgesamt (#Extremismustheorie).";0;2;2429;Potsdam, Brandenburg;negative
Martin Hess;Martin_Hess_AfD;TRUE;2020-07-07 12:45:24;"Arbeitet @BDK_Bund für Kriminalpolizisten oder für polizeifeindliche Ideologen? @fiedelseb fordert ernsthaft Untersuchung über angeblichen #Rassismus. Schluss damit – Polizisten dürfen nicht aus ideologischen Motiven bei der Arbeit behindert werden!
https://t.co/7Wsm0BumVR";5;18;6574;"";negative
Sven-Christian Kindler;sven_kindler;TRUE;2020-03-03 10:04:00;"Anfrage von mir zeigt: Bundesregierung subventioniert mit über 7 Milliarden jährlich den schmutzigen Diesel. 7 Milliarden Steuergeld für Klimazerstörung und dreckige Luft. Was könnte man damit alles Gutes machen...
#ÖPNV #Bahn #Fahrrad #Emobility 

https://t.co/UaxMyfnPCw";58;155;16112;Hannover, Deutschland;negative
Martina Renner;martinarenner;TRUE;2018-09-12 16:52:40;Im Verhalten von #Maaßen zeigt sich seine Verachtung für Demokratie, Parlament und Presse und seine Nähe zur autoritären Rechtsentwicklung und seiner Protagonisten. Er ist in seinem Amt nicht mehr tragbar - nicht erst nach seinen Äußerungen zu #Chemnitz. https://t.co/yLce4D08RC;88;280;20612;Berlin und Erfurt;negative
Sebastian Munzenmaier;s_muenzenmaier;TRUE;2018-02-07 18:24:34;"#CDU opfert Ministerien + letzte Inhalte, völlige Selbstaufgabe für #angie

#SPD besiegelt Untergang und #baetschi soll Parteichefin werden!😀

Und wir? Bekommen kaum Luft vor Lachen und diskutieren, ob man Halbtote überhaupt noch #jagen muss!😉😀
#AfD
@AfDimBundestag
#GroKo";111;374;5719;Deutschland;negative
Caren Lay;CarenLay;TRUE;2017-12-13 15:35:10;Die #AfD hat sich heute im #Bundestag als Opfer linksextremer Gewalt inszeniert. Doch die eigentlichen Brandstifter sitzen in ihren eigenen Reihen. Rassistische Gewalt ist die größte Bedrohung für unsere Demokratie. https://t.co/fhv30Jbpsc;68;195;9763;"";negative
Bernd Riexinger;b_riexinger;TRUE;2019-08-22 12:38:31;"Am #Rydersday demonstrieren die Fahrerinnen und Fahrer der #Lieferdienste für bessere Bezahlung. Ich wünsche ihnen viel Erfolg. Sie haben es sich verdient! #NGG #Lieferando #Foodora 
https://t.co/JmaBCTPrGd";3;28;38584;"";positive
Katja Mast;KatjaMast;TRUE;2020-11-10 10:44:56;Am #ScienceDay wünsche ich mir mehr Sichtbarkeit, mehr Gehör, mehr Anerkennung u. mehr Respekt für die vielen großartigen #Frauen in der Wissenschaft! @spdbt @spdde;0;8;2198;Pforzheim, Deutschland;positive
Katharina Droge;katdro;TRUE;2019-09-10 15:43:51;Das ist Ideologie, keine vernünftige Wirtschaftspolitik. Deutschland braucht einen Wirtschaftsminister, der den Mut hat, für Investitionen zu sorgen, um die drohende Rezession abzuwenden. 2/3;1;5;6180;"";negative
Daniela Kolbe;danielakolbe;TRUE;2020-05-12 06:05:26;@DB_Bahn @gerald_e Aber verpflichtend ist eine Mund-Nasen-Bedeckung im Fernverkehr nur in NRW. Ich finde die Durchsage auch irritierend. Ein Wunsch an die Fahrgäste eine zu tragen, wäre viel zielführender, höflicher und effektiver.;0;0;8158;Leipzig und Berlin;negative
Torsten Herbst;torstenherbst;TRUE;2019-06-06 17:16:33;"@rponline berichtet über meine Forderung, dass die #Bahn bereits ab 30 Minuten Verspätung von Fernzügen ihre #Fahrgäste finanziell entschädigen soll – Ein wichtiger Anreiz für mehr #Service und #Kundenfreundlichkeit auf der Schiene.
https://t.co/fCH7xjIJOF";0;0;2241;Dresden;negative
Katja Leikert;kleikert;TRUE;2019-01-01 20:44:52;@dneuerer @DIHK_News Guter Anfang! Die Wirtschaft sollte jetzt auch Fahrt aufnehmen für eine engagierte pro-EU-Kampagne. #EU;0;0;4954;"";positive
Stefan Schwartze;s_schwartze;TRUE;2019-01-22 07:22:18;"#BrexitDeal Der Kurs der britischen Regierung ist ein reines Pokerspiel. Keine neuen Ideen, sondern Druck aufbauen und hoffen das das Parlament oder die EU schon nachgeben wird.  
Das ist unglaublich verantwortungslos und kann besonders für die Briten schlimme Folgen haben!";1;6;3948;Vlotho;negative
Ekin Deligoz;ekindeligoez;TRUE;2019-10-31 14:37:49;#bmbf @AnjaKarliczek bewilligt die erste Tranche Finanzmittel #Batteriefabrik #Münster 150 Mio trotz berechtigter Zweifel am Verfahren! Krasser Fehler! #Selbstbedienung?;0;3;8232;"";negative
Zaklin Nastic;zaklinnastic;TRUE;2019-11-12 14:50:24;Herzlichen Glückwunsch @Amira_M_Ali zur #Wahl als Fraktionsvorsitzende @Linksfraktion Gemeinsam möchten wir dem globalisierten Kapitalismus eine starke Linke im Parlament entgegensetzen. https://t.co/ESXn8QkEFa;2;15;4208;Hamburg/Berlin;positive
Tankred Schipanski;tschipanski;TRUE;2021-01-05 11:59:17;@ArminLaschet nennt seine Ideen für ein digitales #Deutschland. Wer mehr erfahren möchte, sollte sich am 10.01. das vom @c_netz organisierte Gespräch ansehen bzw. anhören. Mit dabei sind auch @_FriedrichMerz sowie @EllenDemuth vom #TeamRoettgen. #Digitalpolitik #Zukunft @CDU https://t.co/EDff4awQqb;1;9;4554;Thüringen;positive
Jan-Marco Luczak;JM_Luczak;TRUE;2019-06-12 09:30:07;#Forschung ist die #Keimzelle für #Fortschritt. Deswegen investieren wir bis 2030 rund 160 Mrd. Euro in #Wissenschaft und #Forschung. #Wissenschaftspakte 👨‍🎓👩‍🏫🔬📚 👉Mehr dazu: https://t.co/1US7Q6taf5 https://t.co/8HJwN8reZI;0;3;5202;Berlin;positive
Thomas Jarzombek;tj_tweets;TRUE;2019-01-14 07:26:18;@moritzkoerner @Europarl_DE Und trotz all dessen versteht kein Bürger, wie Gesetze in Brüssel entstehen. Diese gahze Transparenzdebatte kann man führen, sie geht aber an der Lebenswirklichkeit der meisten Wähler vorbei.;0;1;15882;Düsseldorf, Germany;negative
Thomas Nord;NordMdb;TRUE;2020-03-19 22:02:26;#tagesthemen kennt im Kommentar nur noch Ausgangssperre, Ausgangssperre, Ausgangssperre und behauptet, ohne diese würde die Politik hierzulande tatenlos zu sehen, wie sich #Corona ausbreitet. Geht‘s noch?;2;6;3861;"";negative
Norbert Rottgen;n_roettgen;TRUE;2020-12-15 21:17:08;Vielen Dank, dass ihr mich eingeladen habt und toll, wie außen- und sicherheitspolitisch interessiert die CDU Göttingen ist, @FGuentzler. Hat großen Spaß gemacht!;0;27;44703;Berlin / Rhein-Sieg-Kreis II;positive
Katja Keul;KatjaKeul;TRUE;2019-09-13 11:04:11;Großes Dankeschön an @leo_axt von @nuclearban! Er hat beim Gründungstreffen zum Parlamentskreis #Atomwaffenverbot deutlich gemacht, wie enorm wichtig unsere Unterstützung aus dem Bundestag für das Anliegen ist. https://t.co/P14xSmSnE6;6;15;2145;Nienburg und Berlin;positive
Aydan Ozoguz;oezoguz;TRUE;2020-07-23 07:12:45;Ich schreibe Ihnen in meiner Antwort, dass ich sehr wohl sehe, dass bei diesem Kompromiss keine Seite vollends zufrieden sein wird. Natürlich müssen Sie nicht zustimmen. Aber was soll dieses einseitige an denPranger stellen? Das kenne ich bisher nur von der AfD. Kein guter Stil. https://t.co/S5EZARtgbA;0;9;19092;Hamburg;negative
Renate Kunast;renatekuenast;TRUE;2020-10-05 16:30:42;Vor allem bräuchten wir jetzt mal einen fähigen # Verkehrsminister statt #Scheuer. Einen,  der das Geld nicht rausschmeißt. Einen,  der #Mobilität der Zukunft organisiert. https://t.co/xRZ3RCSQHE;9;111;65918;Berlin;negative
Bernd Riexinger;b_riexinger;TRUE;2019-08-03 10:52:36;@Die_Gruenen und #Habeck stehen bereit und folgen dem Ruf zur Lösung von Konflikten mit Krieg. Es gibt keinen Unterschied, wer eine solche „Mission“ anführt. Krieg ist Krieg und führt zum Tod vieler Menschen.@dieLinke lehnt einen militärischen Einsatz im Persischen Golf ab!;36;190;38584;"";negative
Karamba Diaby;KarambaDiaby;TRUE;2018-12-10 13:33:16;"""""Es ist besser, eine Kerze anzuzünden, als die Dunkelheit zu verfluchen"""", erklärte Eleanor Roosevelt, die die Menschenrechte vor 70 Jahren voranbrachte. Die Menschenrechtserklärung ist seitdem die größte Kerze, die wir haben. #TagderMenschenrechte";55;375;50858;Halle (Saale);positive
Heribert Hirte;HHirte;TRUE;2020-01-21 19:07:12;#Stephanuskreis der @cducsubt steht für #Religionsfreiheit - aller Religionen. Hierfür gilt es mit Entschiedenheit einzutreten. https://t.co/tWxSQQKpQx;3;11;6110;Köln am Rhein;positive
Uli Grotsch;UliGroetsch;TRUE;2020-06-08 12:31:50;Der nächste Neonazi-Killer!! Diesmal ais #Hildesheim . Ich bin froh, dass unsere Sicherheitsbehörden so wirksam und und auf Zack sind! @spdbt @spdde @BayernSPD  https://t.co/vG6OMY4O2U;1;7;3317;Waidhaus, Deutschland;positive
Karl Lauterbach;karl_lauterbach;TRUE;2020-02-23 18:07:09;Wo ist das Problem, wenn die Wohnung im Prenzlauer Berg nicht mehr für 24 Euro pro Quadratmeter vermietet werden kann? Es sind die höchsten Mieten, die den Preis aller Mieten nach oben ziehen. Diese Spirale wird gestoppt. Das ist soziale Marktwirtschaft https://t.co/f0sru9eG0L;15;196;337001;Berlin, Deutschland;negative
Andreas Steier;andreassteier;TRUE;2020-07-08 12:54:52;@christophploss @FlorianGathmann @derspiegel @CDU Auch sehr gut! Wenn wir so weiter machen, dann brauchen wir uns nicht zu wundern, wenn der Ingenieur, der Handwerker oder der Freiberufler abends lieber ein paar Stunden mehr auf der Arbeit oder bei der Familie verbringen, als sich noch ehrenamtlich in der Politik zu engagieren.;0;2;2242;Trier, Deutschland;positive
Carina Konrad;carina_konrad;TRUE;2020-10-09 05:20:26;@dirkfisser Corona und ASP gemeinsam sind eine Katastrophe für die Schweinehalter, die nicht vorherzusagen war. Entscheidend ist jetzt entschlossenes Handeln gegen die ASP und die Ausweitung der Schlachtkapazitäten.;0;8;1842;Rheinland-Pfalz, Deutschland;negative
Britta Hasselmann;BriHasselmann;TRUE;2019-11-23 09:52:33;Stimmt! Gerade in diesen Zeiten ist das Engagement für unsere Demokratie , unsere lebendige Zivilgesellschaft u. für unsere weltoffene Gesellschaft so bedeutend. Heute Mitgliederversammlung ⁦@boell_stiftung⁩ ⁦MonaNeubaur⁩ ⁦⁦@bueti⁩ ⁦@StefanGelbhaar⁩ https://t.co/L5zGDDOmY1;0;8;20299;Bielefeld/Berlin;positive
Dietmar Bartsch;DietmarBartsch;TRUE;2020-09-07 07:13:12;"Umfassende Aufklärung zuerst! Gegenseitige Beschuldigungen, im Fall #Nawalny dies nicht konsequent zu tun, sollten aufhören. Berlin und Moskau müssen dringend zusammenarbeiten.
Das 97% fertige #NordStream2 infrage zustellen, um innenpolitisch Kapital zu schlagen, hilft nicht. https://t.co/bEIAIPUgJ3";17;134;65116;"";negative
Karl Lauterbach;karl_lauterbach;TRUE;2020-10-04 11:57:12;Gute Übersicht der bekannten Covid Risiken beim Fliegen in JAMA. Fliegen wohl weniger riskant als Klassenraum, Regionalzüge oder Büro. Die Flugzeugklimaanlagen schützen nicht perfekt. Mit ffp2 Maske gehe ich selbst aber von sehr hoher Sicherheit aus. https://t.co/KtHKQk2WZV;99;499;337001;Berlin, Deutschland;positive
Filiz Polat;filizgreen;TRUE;2020-04-22 07:18:38;Demonstrieren mit tausenden von Personen vor dem BMI oder dem Bundeskanzleramt ist nicht möglich. Dafür könnt ihr - egal wo ihr seid - die Evakuierung des Lagers #Moria sprichwörtlich anzetteln. 50 sind nicht genug, Evakuierung jetzt! #LeaveNoOneBehind #Osnabrück https://t.co/5lo6Tuxmp0;2;15;4465;Bramsche/Berlin;negative
Karamba Diaby;KarambaDiaby;TRUE;2018-10-09 14:06:17;Wir brauchen einen linken Populismus, der die offene Gesellschaft verteidigt und die negativen Effekte einer neoliberalen Welt nicht bei den Migrant*innen sucht. Passend zur Frankfurter #Buchmesse lese ich gerade das Buch der belgischen Philosophin #ChantalMouffe. https://t.co/s31OPNR6la;14;97;50858;Halle (Saale);negative
Nicole Hochst;Nicole_Hoechst;TRUE;2019-02-05 01:11:46;"Illegale Einwanderung nach Europa wird verherrlicht &amp; in die Köpfe unserer Kinder indoktriniert. Eltern sollten bei solch einer Indoktrination in den Schulen auf die Barrikaden gehen! #Sicherheit #Identität #Rechtsstaatlichkeit #AfD https://t.co/0lMMW9klYS https://t.co/qcL6RWM6bc";48;76;3882;Rheinland-Pfalz, Deutschland;negative
Zaklin Nastic;zaklinnastic;TRUE;2019-03-05 09:58:51;"Ich kann diese Wut gegen den #Klerus verstehen! Übergriffige #Priester müssen für ihre Taten weltlich belangt werden! #Kinderrechte sind #Menschenrechte! #Missbrauch @Linksfraktion

https://t.co/r2u2riFdyu";3;15;4208;Hamburg/Berlin;negative
Sven-Christian Kindler;sven_kindler;TRUE;2020-05-26 09:16:11;"An der Börse ist die #Lufthansa 4 Mrd. € wert. Die Bundesregierung will jetzt dem privaten Großkonzern 9 Mrd € geben - Großteil als Eigenkapital - und nur eine 20%-Beteiligung erhalten. Schönes Geschäft für die Aktionäre*innen, schlechter Deal für die Steuerzahler*innen
@katdro";25;95;16112;Hannover, Deutschland;negative
Gokay Akbulut;akbulutgokay;TRUE;2020-09-09 05:47:53;"#Moria brennt. Es sind verstörende Bilder.
Es kann einfach nicht sein, dass wir jetzt ungläubig diese Videos anschauen und verzweifeln. Denn wir kennen die menschenunwürdige Zustände. Das Camp muss sofort evakuiert werden. 

#LeaveNoOneBehind https://t.co/KDw6c9o3oO";3;8;3540;Mannheim & Berlin;negative
Christoph Hoffmann;HoffmannForest;TRUE;2020-01-19 08:11:59;#Kohleausstieg : Scholz verspricht Kraftwerksbetreibern völlig unnötigerweise Milliarden-Entschädigung, mit CO2 Cap und Zertifikaten geht das gratis https://t.co/wZE4Rt6gQC via @derspiegel;7;23;1258;Schliengen, Deutschland;negative
Michael Roth;MiRo_SPD;TRUE;2020-11-02 11:50:49;Auf Einladung von @CBeaune (online zugeschaltet) habe ich mit Botschafterin @amdescotes, SchülerInnen+Lehrkräften des 🇫🇷 Gymnasiums Berlin des ermordeten Lehrers #SamuelPaty gedacht. 🇫🇷+🇩🇪 kämpfen gemeinsam für 🇪🇺Werte, gegen Hass+islamistischen Terror. #Libertedexpression https://t.co/0IKHx5JJqS;20;147;35028;Bad Hersfeld;negative
Michel Brandt;michel_brandt_;TRUE;2018-09-14 07:31:12;Bin gerade auf dem Weg in den  #HambacherForst, wo Tag zwei der #Räumung der Umweltaktivist*innen durch die #Polizei angekündigt ist. Die Bilder von gestern sind erschreckend. Ich hoffe, es kommen noch viele andere Menschen zum #Protest gegen diesen Irrsinn. #hambibleibt;25;101;4021;"";negative
Christine Buchholz;ch_buchholz;TRUE;2020-11-01 10:19:53;Solange die Bundesreg. darauf beharrt, dass die weitgehend straffrei agierende Kampftruppe KSK mit Abschottung, absoluter Geheimhaltung und Korpsgeist notwendig sei, weckt sie Zweifel, ob sie tatsächlich bereit ist, die strukturellen Ursachen des Problems an der Wurzel zu packen. https://t.co/vD7TzkiUc3;2;8;8837;Berlin;negative
Karl Lauterbach;karl_lauterbach;TRUE;2020-04-30 08:32:49;Dieses Ergebnis von Chr. Drosten spricht auch dafür, dass Kinder ähnlich ansteckend wie Erwachsene sein könnten. Das zeigt, wie riskant die Öffnung der Schulen ist. Es sollte auf jeden Fall in Schulen regelmässig getestet werden. Auch Lehrer. https://t.co/DB3NXvGfUX;449;2055;337001;Berlin, Deutschland;positive
Tobias Peterka;TobiasMPeterka;TRUE;2019-10-02 14:00:43;"Der Moment, wo ein """"Komiker"""" so links ist, dass sein Eintritt in die #SPD nicht mehr als #Satire erkennbar ist. #Böhmermann ist nun dort, wo er hingehört. Generalsekretär Lars #Klingbeil beglückwünscht ihn. Genug gesagt. / Q: https://t.co/sxoY9dYCxM https://t.co/Dx5wgjnWka";5;40;1464;Bayreuth, Bayern;positive
Marian Wendt;MdbWendt;TRUE;2018-11-25 16:22:17;Eine richtige Entscheidung. Die Nachfolger der #SED wollten eine für sie unliebsame Person aus dem Direktorenamt der Gedenkstätte... https://t.co/Wv8R4Bxr0c;0;1;2489;Nordsachsen/Berlin;positive
Johannes Huber;HuberMdB;TRUE;2020-09-17 14:31:04;Ich wünsche meinen Schweizer Freunden viel Erfolg. Nur wer seine Einwanderung kontrolliert, bleibt Herr im eigenen Haus. #svp #Schweiz #Begrenzungsinitiative https://t.co/ug5r9bHcks;0;4;1841;"";positive
Matthias Heider;MatthiasHeider;TRUE;2019-01-16 10:29:27;"Was jetzt von den britischen Inseln auf uns zu kommt ist mehr als eine Schlechtwetterfront.
Wir werden jetzt im Bundestag alle Vorkehrungen treffen, um die Auswirkungen eines harten BREXIT auf Deutschland abzumildern! https://t.co/PYBTxFW8mO";1;5;1647;Lüdenscheid;positive
Irene Mihalic;IreneMihalic;TRUE;2020-10-08 19:56:34;@Sonntag1410 @polizISTmensch Sie haben Recht, dass man sich nicht auf die Sicherheitsbehörden beschränken sollte. Man sollte sie aber, wie andere Gruppen auch, dennoch gesondert betrachten. Sonst geht die nötige Differenzierung und damit die Präzision völlig verloren.;0;1;7235;Gelsenkirchen / Berlin;negative
Beate Muller-Gemmeke;GrueneBeate;TRUE;2020-06-19 07:48:46;Der #Mindestlohn darf in Zeiten von #Corona nicht infrage gestellt werden. Im Gegenteil - der Mindestlohn muss deutlich steigen – in Schritten schnell auf 12 Euro. #Lohngerechtigkeit #Nachfrage #Corona #zusammenhalten https://t.co/ksqYWho9Cf;6;13;5357;Reutlingen, Baden-Württemberg;negative
Daniela Kolbe;danielakolbe;TRUE;2018-10-17 13:22:40;"Wenn ein Nazi einem Nazi ne weiße Weste attestiert... und der dann auch noch Spitzenkandidat bei einer Landtagswahl wird. Die AfD 2018!
Sollten sich alle potentiellen Wähler/-innen klar machen.  #noafd #wirsindmehr https://t.co/g2gVq0lImg";2;9;8158;Leipzig und Berlin;negative
Ulla Jelpke;UllaJelpke;TRUE;2018-07-24 12:30:04;"Das Problem ist der #Verfassungsschutz selbst:  Er hat überhaupt nicht im Blick, wie sich rassistische und andere offen demokratiefeindliche Positionen unter dem Deckmantel scheinbarer Legalität in der Mitte der Gesellschaft breitmachen.
https://t.co/LKS9xCQyf3";18;34;13461;Platz der Republik, Berlin;negative
Jan Nolte;Jan_Nolte_AfD;TRUE;2019-03-11 15:19:08;"Wer noch einen weiteren Beweis brauchte, dass es in der Diskussion rund um #Frauenquote und #Paritätsgesetz nicht um Gerechtigkeit, sondern um das Sichern von Pfründen für die eigene Klientel und der Schädigung des politischen Gegners geht: Hier ist er.

https://t.co/CCUX9wI5Xx";7;11;1539;Waldeck, Deutschland;negative
Karl Lauterbach;karl_lauterbach;TRUE;2019-12-01 09:44:00;Die Wahl von Esken/Nowabo stellt auf jeden Fall eine Chance für eine neue SPD Klimapolitik dar. Mit dem vorliegenden Klimapaket, besonders dem Abwürgen der Windenergie und den mangelhaften Investitionen in die Infrastruktur, kann die SPD nicht glaubhaft in der GroKo bleiben.;49;715;337001;Berlin, Deutschland;positive
Nicole Gohlke;NicoleGohlke;TRUE;2019-09-24 09:35:42;"Ja, genau, die #GroKo steht für #AugenZuUndDurch, ist Wirtschaftslobby und versagt beim Kampf gegen #Armut #Mietenwahnsinn &amp; #Klimakrise. Wenn das mehr Leute in der #SPD erkennen würden, ist ein erster Schritt gemacht. #KeinWeiterSo mit diesem #Klimapaket 
https://t.co/kysB0vqbmC";8;33;7685;Berlin | München;positive
Johannes Steiniger;josteiniger;TRUE;2019-09-02 20:43:19;@gfwt_ Protest schön und gut, aber eine Kalbitz-AfD? Da hört’s auf!;0;0;3980;"";positive
Tabea Rossner;TabeaRoessner;TRUE;2019-06-07 11:49:25;Ja, ich will 😊 Ich kandidiere für das Amt der #Oberbürgermeisterin in #Mainz! Mainz braucht neue Impulse. Mainz braucht frische Brise. 😉 Mainz braucht Dialog auf Augenhöhe. Ich freue mich viele Gespräche mit den Menschen in meiner Lieblingsstadt. #meenzgefühl #Tabeagehtklar https://t.co/JWsHDG7gzL;37;336;8752;Mainz/Berlin;positive
Gokay Akbulut;akbulutgokay;TRUE;2019-09-16 12:32:42;Die Forderung für das kommunale Wahlrecht aller hier lebenden Drittstaatler*innen unterstützen wir als @Linksfraktion seit Jahren. Unsere Unterstützung habt ihr! #BZI #Migration #Partizipation https://t.co/0JCp08q9IY;1;5;3540;Mannheim & Berlin;positive
Brigitte Freihold;mdb_freihold;TRUE;2018-03-26 16:00:55;"Eindrucksvolles Zeichen für Demokratie getrübt durch massiven Polizeieinsatz. ➡️https://t.co/FydSJDPq9q

#Kandel #WirSindKandel https://t.co/Y61oQi7vLy";1;0;784;Pirmasens, Deutschland;positive
Michel Brandt;michel_brandt_;TRUE;2018-08-01 09:47:05;#Aquarius kehrt heute wieder ins Rettungsgebiet vor #Libyen zurück. Als eines der einzigen verbleibenden humanitären Rettungsschiffe im Mittelmeer lautet die Mission: Menschenleben retten! Die letzte Bastion der Menschlichkeit zw. Afrika und Europa! #TogetherForRescue #civilFleet;7;23;4021;"";positive
Bernd Riexinger;b_riexinger;TRUE;2020-06-17 16:20:00;Beim Fußball wurde über #Rassismus bei #Tönnies viel diskutiert. Aber was ist eigentlich mit #Sklavenarbeit und fehlendem #Arbeits- und #Infektionsschutz bei #Tönnies? Der reale #Rassismus in der Arbeitswelt ist unerträglich - und nicht nur die Äußerungen!;28;172;38584;"";negative
Zaklin Nastic;zaklinnastic;TRUE;2018-10-15 11:49:03;Richtiger Kommentar @SZ! #SaudiArabien kann nicht beweisen das #Khashoggi noch lebt. Nun sollen #Menschenrechte wieder #Wirtschaftsinteressen geopfert werden. #BuReg, beenden sie dieses #Trauerspiel. https://t.co/mivYYDut4s;0;3;4208;Hamburg/Berlin;negative
Wolfgang Hellmich;HellmichMdB;TRUE;2018-12-03 18:15:22;Heute zu Besuch in Bad Sassendorf: Mein Kollege Arno Klare, MdB, Mitglied im Ausschuss für Verkehr und Infrastruktur und im Untersuchungsausschuss für den Abgasskandal. In einer offenen Diskussion reden wir bei gut gefüllten Raum über die Zukunft des Diesels.;0;3;2206;Bad Sassendorf, Deutschland;positive
Jurgen Braun;JuergenBraunAfD;TRUE;2020-06-11 14:39:47;"Dafür zahlen wir doch gerne mehr als 8 Mrd.€ #Zwangsgebühren. 

""""#Qualitätsmedien"""" wie #ZDF #heute labern dummes Zeug, verwechseln offenbar #Fronleichnam mit Allerheiligen. 
Peinlich, wie Allrounddilettant Wulf #Schmiese sich dabei blamiert.
#GEZ https://t.co/giEVNSOajX";1;8;3188;Waiblingen, Deutschland;negative
Beatrix Storch;Beatrix_vStorch;TRUE;2018-03-28 20:15:12;Religionsfreiheit? Lehnt die Kandidatin der FDP denn die Sharia ab, insofern deren rechtsrelevanten Teile Atheisten nahezu alle Rechte absprechen und darin Christen und Juden zu rechtlich zweitklassigen Menschen erklärt werden? #AfD #Kopftuch https://t.co/ZtdHq9theZ;94;309;61329;Berlin, Deutschland;negative
Axel Fischer;Axel_Fischer;TRUE;2020-05-06 17:08:59;Zwei Veranstaltungen parallel. Dank Videokonferenz möglich. #haushälter der #cducsu tagen in #Berlin und gleichzeitig der #CDU #bezirksvorstand per #video #konferenz mit #bundesminister peter_altmaier.pr https://t.co/Cg4N74aWvh;0;0;801;Berlin;positive
