name_matching;username;available;created_at;full_text;retweet_count;favorite_count;followers_count;location;topic;label;from;to
Beatrix Storch;Beatrix_vStorch;TRUE;2018-09-18T14:16:01Z;Chaos-Regierung: #Merkel luegt u spaltet das Land,#Maassen sagt die Wahrheit,dann folgt mediale #Hetzjagd. SPD will seinen Kopf, Seehofer lobt ihn auf Staatssekretaers Posten weg, damit SPD pro forma ihren Willen bekommt, Seehofer kein Rueckgrat zeigen muss und Merkel ihre Ruhe hat.;370;1204;61329;Berlin, Deutschland;Merkel;negative;19;24
Beatrix Storch;Beatrix_vStorch;TRUE;2018-09-21T12:17:32Z;Ich bekomme bald Mitleid mit der #SPD. Die koennen es einfach nicht. Mensch Leute, tretet ab, lasst es sein. Das ist wirklich nicht mehr mitanzusehen. Geht angeln oder Bauchtanzen oder so. #AfD uebernimmt.;378;1491;61329;Berlin, Deutschland;SPD;negative;35;37
Beatrix Storch;Beatrix_vStorch;TRUE;2018-09-26T14:57:44Z;Merkel-Regierung geht vor Erdogan in die Knie. Auf meine Frage, ob nach Auffassung der Bundesregierung die Ermordung der Armenier 1915/16 ein Voelkermord war, eiert sie nur rum. Ihr sei die Position des Bundestages dazu bekannt. Sie selbst hat dazu keine. #erbaermlich #feige;301;758;61329;Berlin, Deutschland;Erdogan;negative;27;33
Beatrix Storch;Beatrix_vStorch;TRUE;2018-11-07T10:58:01Z;Israel hat die Welt hypnotisiert.Moege Allah d Menschen erwecken u ihnen das boesartige Tun Israels zeigen.Das sind die neuen Muslime,die nun im US-Kongress sitzen u die Welt schlaegt Purzelbaeume ueber Islamismus jetzt auch im Kongress.Bis es zu spaet ist🤬 #MidtermsElections2018;141;377;61329;Berlin, Deutschland;Muslime;negative;127;133
Beatrix Storch;Beatrix_vStorch;TRUE;2019-01-29T16:21:44Z;Wir hatten den Verdacht ja schon immer,aber schoen, dass @annewill das hier jetzt auch mal oeffentlich bestaetigt: Der oer- #GEZ - Staatsfunk betreibt nicht Aufklaerung,sondern Politik. Wessen Argumente nicht passen, wird nicht eingeladen.Die haben ihre eigene Agenda-auf unsere Kosten.;194;553;61329;Berlin, Deutschland;Staatsfunk;negative;132;141
Beatrix Storch;Beatrix_vStorch;TRUE;2019-02-21T13:44:03Z;Erst fuehrt die #SPD das 3. Geschlecht ein und meint, man kann auch noch selbst entscheiden, welches davon man hat- und dann wollen sie eine 50-(!)-Quote fuer Frauen. Und wenn man dann fragt, wie das zusammenpasst...stammeln sie rum. Ansehen- lohnt 🤩;426;1228;61329;Berlin, Deutschland;Geschlecht;negative;29;38
Beatrix Storch;Beatrix_vStorch;TRUE;2019-07-16T16:49:53Z;Ein trauriger Tag fuer Europa. #VdL ist gewaehlt von Macrons Gnaden. Sie steht fuer einen massiven Linkskurs und gegen alles, wofuer wir streiten: ein Europa der Vaterlaender und der Demokratie, denn die geht nur national. #AfD;272;964;61329;Berlin, Deutschland;Europa;negative;24;29
Beatrix Storch;Beatrix_vStorch;TRUE;2019-09-08T13:12:17Z;So sind sie: #SPD #CDU #FDP waehlen einen #NPD-Mann ins Amt. Herzlichen Glueckwunsch 🤦‍♀️. Aber Hauptsache entschlossen gegen die #AfD kaempfen. Ihr seid so armselig!;331;1211;61329;Berlin, Deutschland;AfD;negative;132;134
Beatrix Storch;Beatrix_vStorch;TRUE;2019-09-18T13:36:21Z;Nachdem Luisa #Neubauer die Welt per Flugzeug bereist hat, haelt sie jetzt die Blockade von Flughaefen Bruecken fuer legitim. Von der Doppelmoral zur Oeko-Kriminalitaet ist es bei #FridaysforFuture offenbar nur ein Schritt.#LangstreckenLuisa #allesfuersklima;425;1522;61329;Berlin, Deutschland;Oeko-Kriminalitaet;negative;151;168
Beatrix Storch;Beatrix_vStorch;TRUE;2019-10-05T08:33:37Z;Ein Islamist im Herzen d frz Sicherheitsbehoerden im Kampf gegen Islamisten? frz Regierung deckt ihn? u dann mordet er 4 Polizisten? Und jetzt will #Macron das vertuschen? An Euren Haenden klebt Blut! Ihr mordet mit! Unmoeglich in 🇩🇪 ? Ich fuerchte: nein.;467;1251;61329;Berlin, Deutschland;Islamisten;negative;66;75
Beatrix Storch;Beatrix_vStorch;TRUE;2019-10-07T09:06:55Z;Vor Ort unter Linken... Ich wollte mir diese Weltuntergangssekte mal aus der Naehe ansehen... Sie bekaempfen offen Demokratie und Industrialisierung. #ExtinctionRebellion #Endzeitsekte #Verfassungsfeinde #Demokratiefeinde #Klimaschutzgesetz #Berlin;396;1527;61329;Berlin, Deutschland;Linken;negative;15;20
Beatrix Storch;Beatrix_vStorch;TRUE;2019-11-20T13:22:07Z;Die Klimanazis von #ExtinctionRebellion lassen die Maske fallen: Die wollen die Demokratie abschaffen und relativieren den Holocaust. Wo bleibt der #Verfassungsschutz, Demokratie leben und Unvereinbarkeitsbeschluss der #Gruenen?;280;915;61329;Berlin, Deutschland;Klimanazis;negative;5;14
Beatrix Storch;Beatrix_vStorch;TRUE;2020-01-15T12:41:04Z;Klar- #Klimahysterie ist das schon lange nicht mehr. Die brauchen Hilfe. Aerztliche. Und wie gut, dass hier niemand Aengste schuert. 🤯 #LangstreckenLuisa #FFF #Klimaklage #Klimakrise;107;508;61329;Berlin, Deutschland;Klimahysterie;negative;8;20
Beatrix Storch;Beatrix_vStorch;TRUE;2020-02-14T10:46:13Z;Wer verroht hier die Sprache? Krebsgeschwuer (Elmar #Brok), Giftiger Abschaum (Marco #Wanderwitz), Gesindel (#Merz). Das ist die Sprache der angeblich buergerlichen CDU in der Auseinandersetzung mit #WU und #AfD. Die Heuchler zeigen ihr wahres Gesicht. #Hass #Hetze;643;2155;61329;Berlin, Deutschland;AfD;negative;209;211
Beatrix Storch;Beatrix_vStorch;TRUE;2020-03-11T13:34:57Z;#Erdogan kerkert politische Gegner ein, fuehrt einen Vernichtungskrieg gegen die #Kurden, treibt Migranten auf die EU-Grenze, diffamiert #Griechenland und verharmlost die Naziverbrechen. Wo bleibt die klare Kante gegen diese Aggression? #Istandwithgreece;359;1320;61329;Berlin, Deutschland;Erdogan;negative;2;8
Beatrix Storch;Beatrix_vStorch;TRUE;2020-03-29T16:04:00Z;🇩🇪 wurde mit dem Versprechen in den Euro gelockt, dass es niemals fuer Schulden anderer 🇪🇺-Laender haften muesse. Dieses Versprechen waere spaetestens mit #Coronabond|s endgueltig gebrochen. Daher Nein zu diesem Schuldenvergemeinschaftungs-Instrument. #Covid_19;438;1561;61329;Berlin, Deutschland;Euro;negative;37;40
Beatrix Storch;Beatrix_vStorch;TRUE;2020-04-07T12:44:35Z;🇩🇪 hat 190 Professuren fuer Pharmazie, aber 200 fuer Gender Studies?! DIE koennen alle weg. Wir brauchen Apotheker und Lastkraftfahrer, aber niemanden, der ueber das Geschlecht von Buecherregalen philosophiert. #PharmaziestattGenderStudies! #nurdieAfD #COVID2019de;609;2441;61329;Berlin, Deutschland;Geschlecht;negative;167;176
Beatrix Storch;Beatrix_vStorch;TRUE;2020-05-05T06:34:56Z;Die #EZB ist zur Gelddruckmaschine der Schulden-Staaten verkommen und operiert im geldpolitischen Nirwana. Das #Bundesverfassungsgericht musste dem jetzt eine Grenze setzen, alles andere haette der Glaubwuerdigkeit des #BVerG noch (!) schwereren Schaden zugefuegt. #Karlsruhe;106;378;61329;Berlin, Deutschland;EZB;negative;6;8
Beatrix Storch;Beatrix_vStorch;TRUE;2020-06-10T07:05:33Z;Zahl der Mittelmeermigranten in 🇮🇹 hat sich trotz #Corona-Beschraenkungen in den ersten fuenf Monaten 2020 zum Vorjahr fast verdreifacht. Sie stammen aus Bangladesch, Tunesien oder der Elfenbeinkueste. Geheimdienst warnt: 20.000 weitere warten in Libyen. Die Welle rollt weiter. #AfD;365;1049;61329;Berlin, Deutschland;Mittelmeermigranten;negative;10;28
Beatrix Storch;Beatrix_vStorch;TRUE;2020-07-19T10:14:22Z;Die #partyundeventszene in #Frankfurt aehnelt also der von #Stuttgart: hoher Migrationsanteil, betrunken und hoch aggressiv. Aber hey! Dass mir jetzt keiner sagt, wir haben ein Problem mit Migranten. #WannWachtDiesesVolkEndlichAuf;459;2123;61329;Berlin, Deutschland;Migranten;negative;190;198
Beatrix Storch;Beatrix_vStorch;TRUE;2020-08-27T12:23:17Z;Nanu? #Genderneutrale #Berlinale-Preise sind dann auch wieder frauenfeindlich? Wieder keine Gender- und Diversitaetsgerechtigkeit? Was genau wollt ihr denn? Fragen ueber Fragen. Einfach nur noch irre... #GenderGaga #kannweg;44;241;61329;Berlin, Deutschland;Gender;negative;8;13
Beatrix Storch;Beatrix_vStorch;TRUE;2020-09-07T06:08:43Z;Der #BER ist pleite wenn der Steuerzahler nicht mal wieder hunderte Millionen EUR nachschiesst. #SPD, #CDU, #Gruene und die #LINKE heissen die Parteien, die dieses Debakel zu verantworten haben. #Servicetweet #PrivatStattStaat #RotRotGruenmussweg #TegelBleibt;172;634;61329;Berlin, Deutschland;BER;negative;6;8
Beatrix Storch;Beatrix_vStorch;TRUE;2020-09-15T11:07:44Z;Laut der griechischen Polizei sind die fuenf mutmasslichen #Brandstifter von #Moria Afghanen, deren Asylantraege abgelehnt worden waren. Eine sofortige Abschiebung haette also auch diese Tragoedie verhindert. Die europ. Loesung kann nur #FestungEuropa heissen.;275;1004;61329;Berlin, Deutschland;Abschiebung;negative;153;163
Beatrix Storch;Beatrix_vStorch;TRUE;2020-09-25T08:26:29Z;DAS werden wir bekaempfen!Das ist nicht bunt u tolerant. Das ist Unterwerfung u dumm.Wenn in Riad zur Einschulung unter Glockengelaeut Grosser Gott wir loben Dich gesungen wird,koennen wir darueber noch mal reden.Sonst nicht #UnserLand #UnsereWerte #IslamisierungStoppen #Tuttlingen;463;1613;61329;Berlin, Deutschland;Islamisierung;negative;251;263
Beatrix Storch;Beatrix_vStorch;TRUE;2020-10-09T06:44:45Z;Das Linksextremisten-Zentrum #Liebig34 wird geraeumt. Endlich! Das ist ein Sieg fuer den Rechtsstaat. Ganz Berlin dankt der Polizei. Das kann aber nur der Anfang sein, um den ganzen linksextremen Sumpf trocken zu legen. Von der #rigaerstrasse bis #Connewitz;134;684;61329;Berlin, Deutschland;linksextremen;positive;183;195
Beatrix Storch;Beatrix_vStorch;TRUE;2020-10-13T12:39:32Z;Die Gruenen wollen #Frauenquote UND freie Selbstbestimmung des Geschlechts. Das zwang mich zur der Frage: gilt die Frauenquote dann auch fuer Maenner, die sich selbst zur Frau erklaert haben? Die Antwort von @BriHasselmann nicht verpassen! — siehe Video im Link 😂👊🏻😇;474;1530;61329;Berlin, Deutschland;Geschlechts;negative;64;74
Beatrix Storch;Beatrix_vStorch;TRUE;2020-10-29T09:18:00Z;Der Allahu Akbar-schreiende Islamist enthauptete in der Basilika Notre-Dame eine 70-jaehrige Frau. Weiterer Mann soll durch Stiche ins Genick getoetet worden sein. Der Buergermeister von #Nizza nennt das zurecht Islamo-Faschismus. Nicht verharmlosen: Das hat mit dem Islam zu tun;155;602;61329;Berlin, Deutschland;Islamist;negative;29;36
Beatrix Storch;Beatrix_vStorch;TRUE;2020-11-10T09:01:40Z;Soso, laut CDU/CSU-BMI findet bei #DITIB ein Generationswechsel statt. Wer von den juengeren Funktionstraegern hat denn mal oeffentlich Erdogan kritisiert? Distanziert sich vom politischen Islam? Verteidigt Israels Existenzrecht? #Farce #Islamkonferenz;74;314;61329;Berlin, Deutschland;Erdogan;negative;137;143
Bettina Muller;BetMueller;TRUE;2019-12-05T10:45:01Z;Heute ist #Welttag des #Ehrenamt #Ehrenamtliche machen die #Welt etwas besser und menschlicher. Zahllose Buergerinnen und Buerger in meinem #Wahlkreis und darueber hinaus uebernehmen taeglich #freiwillig #Verantwortung in unserer #Gesellschaft. #Danke #Wertschaetzung #dubistnichtallein;2;17;2874;"";Ehrenamt;positive;25;32
Bettina Muller;BetMueller;TRUE;2020-03-24T09:58:33Z;Die #Corona-Pandemie ist eine absolute Ausnahmesituation – und wir meistern sie nur, weil tausende #Leistungstraeger gerade alles dafuer geben, unser gesellschaftliches Leben am laufen zu halten. Vielen Dank fuer euren Einsatz!;0;1;2874;"";Corona-Pandemie;positive;6;20
Bettina Muller;BetMueller;TRUE;2020-08-11T08:47:55Z;Super! 💪🏻 Ich bin ueberzeugt: mit @OlafScholz Erfahrung und Besonnenheit, einem mutigen, progressiven Regierungsprogramm und einer geschlossenen @spdde werden wir deutlich besser abschneiden, als viele uns das derzeit zutrauen. Freue mich auf den Wahlkampf 2021!🌹#Kanzlerkandidat;4;34;2874;"";Wahlkampf;positive;248;256
Bettina Muller;BetMueller;TRUE;2020-12-28T10:51:56Z;Ich lasse mich #impfen, um selbst besser geschuetzt zu sein und um meinen Beitrag zur Bekaempung der Pandemie zu leisten, sagt Susanne #Schaab. Auch die Buergermeisterin von #Schotten unterstuetzt meinen Aufruf. Vielen Dank! #Corona;0;2;2874;"";impfen;positive;17;22
Britta Hasselmann;BriHasselmann;TRUE;2018-08-28T04:13:32Z;Was fuer ein Trauerspiel u.Versagen dieser Landesregierung in #Sachsen! Wo bleibt der leidenschaftliche Einsatz u.die Verteidigung unserer #Demokratie u. #Rechtsstaat @MPKretschmer @cdusachsen @SPDSachsen? Gemeinsam einstehen fuer #DasandereSachsen #c2708;35;95;20299;Bielefeld/Berlin;Demokratie;negative;141;150
Britta Hasselmann;BriHasselmann;TRUE;2018-09-18T15:44:05Z;Was fuer ein Theater Union und SPD die letzten Tage veranstaltet haben. Jetzt soll #Maassen fuer sein Fehlverhalten auch noch mit dem Posten des Staatssekretaers im #BMI belohnt werden. Man kanns nicht glauben. Union und SPD scheinen jedes politische Gespuer verloren zu haben;22;145;20299;Bielefeld/Berlin;Maassen;negative;85;91
Britta Hasselmann;BriHasselmann;TRUE;2018-10-13T06:48:41Z;NICHTS ANDERS ALS HOMOPHOBIE IST, WAS SIE HIER VORTRAGEN! Widerlich, was die #AFD-Typen am Donnerstag bei #EhefuerAlle im Bundestag von sich gegeben haben. Wir setzen ein klares Zeichen fuer Solidaritaet und gegen Ausgrenzung #unteilbar #wirsindmehr;16;73;20299;Bielefeld/Berlin;HOMOPHOBIE;negative;19;28
Britta Hasselmann;BriHasselmann;TRUE;2018-11-15T18:25:48Z;Es ist offenkundig, die #AFD hat ein Problem mit Recht u.Gesetz #Spendenaffaere. Das von #AFD vor sich her getragene Saubermann-Image bricht spaetestens jetzt endgueltig zusammen. Es ist hanebuechen, wie Alice Weidel versucht,die Leute fuer dumm zu verkaufen.;20;89;20299;Bielefeld/Berlin;AFD;negative;26;28
Britta Hasselmann;BriHasselmann;TRUE;2018-11-16T16:22:02Z;Und noch was in Sachen Spendensumpf bei der #AFD. Hat die Goal AG mit dubioser Spende von 50.000 Euro die Plakatkampagne von AFD-Mann Guido Reil finanziert?? Das stinkt alles zum Himmel bei der #AFD! #Parteispendenaffaere #NoAFD;44;90;20299;Bielefeld/Berlin;AFD;negative;46;48
Britta Hasselmann;BriHasselmann;TRUE;2018-11-23T18:48:51Z;Monatelang haben Meuthen, Gauland u.Weidel bestritten,was mit dem #AFD-nahen Verein zu tun zu haben. Es geht um millionschwere Wahlwerbung.Der Vorwurf illegaler #Parteienfinanzierung steht im Raum.Meuthen,Gauland u.Weidel tun nichts fuer Aufklaerung @sepikow;25;53;20299;Bielefeld/Berlin;Parteienfinanzierung;negative;163;182
Britta Hasselmann;BriHasselmann;TRUE;2019-01-14T12:33:36Z;Union und SPD muessen sich beim Thema #Grundsteuer endlich zusammenreissen und jetzt zu einem Ergebnis kommen. Denn die Zeit wird knapp. Das Gezerre um die Grundsteuer ist ein fahrlaessiges Spiel auf dem Ruecken der #Kommunen.;2;22;20299;Bielefeld/Berlin;Grundsteuer;negative;40;50
Britta Hasselmann;BriHasselmann;TRUE;2019-01-22T17:46:18Z;Landwirtschaftsministern Kloeckner versucht sich rauszureden.Dabei haben Union u.SPD nicht den politischen Willen u.die Kraft #Ferkelkastration endlich zu verbieten.Stattdessen knicken sie ein vor Lobbyinteressen. #Tierschutz u.eine #Agrarwende sind noetig!;7;42;20299;Bielefeld/Berlin;Lobbyinteressen;negative;198;212
Britta Hasselmann;BriHasselmann;TRUE;2019-03-22T13:55:35Z;Anonyme Spenden, dubiose Vereinsfinanzierung und jetzt ist oeffentlich sogar die Rede von Strohmann-Spenden. Mit dem propagierten Mut zur Wahrheit scheint es im eigenen Laden der #AFD nicht weit her zu sein. #NOAFD #Parteispendenaffaere;36;161;20299;Bielefeld/Berlin;Spenden;negative;9;15
Britta Hasselmann;BriHasselmann;TRUE;2019-05-19T08:06:26Z;In Oesterreich findet ein politisches Beben statt, es wird #Neuwahlen geben. Die #AFD braucht Stunden bis sie sich oeffentlich aeussert. Dann spricht @Joerg_Meuthen von singulaerer Angelegenheit-klarer Fall von Realitaetsverlust oder? #Strachevideo #FPOe #NoAFD;18;93;20299;Bielefeld/Berlin;AFD;negative;83;85
Britta Hasselmann;BriHasselmann;TRUE;2019-05-31T04:32:59Z;Wir muessen jetzt was tun fuer den #Klimaschutz. Dazu muss der #Kohleausstieg kommen. Das scheinen @cducsubt noch immer nicht verstanden zu haben. Nicht zu fassen!;8;43;20299;Bielefeld/Berlin;Kohleausstieg;negative;65;77
Britta Hasselmann;BriHasselmann;TRUE;2019-06-14T04:59:18Z;Ueber Monate Stillstand u. Blockade bei CDU/CSU und SPD in Sachen #Grundsteuer. Was ist denn jetzt Sache bei der #GroKo? Unsere Kommunen sind angewiesen auf die rund 13 Mrd. Einnahmen aus der #Grundsteuer! @Schmidt_MdB;7;22;20299;Bielefeld/Berlin;Grundsteuer;negative;68;78
Britta Hasselmann;BriHasselmann;TRUE;2019-07-05T03:33:20Z;Erschreckend, was sich hier fuer Abgruende auftun - so viel Hass, Hetze u. Haeme. Es zeigt, wie wichtig es ist, zusammen fuer unsere lebendige Demokratie und unsere weltoffene und tolerante Gesellschaft einzustehen. #WirsindMehr #Unteilbar #NoAFD;21;129;20299;Bielefeld/Berlin;Hass;negative;61;64
Britta Hasselmann;BriHasselmann;TRUE;2019-09-25T13:35:59Z;Ich finde es bewundernswert, mit welcher Energie sich die 16jaehrige #Greta fuer die Bekaempfung der Klimakrise einsetzt und sich von all den Altklugen und Ewiggestrigen nicht entmutigen laesst. Herzlichen Glueckwunsch zum #AlternativerNobelpreis;20;162;20299;Bielefeld/Berlin;Klimakrise;positive;102;111
Britta Hasselmann;BriHasselmann;TRUE;2019-10-28T07:30:04Z;Die Ergebnisse der #KohleKommission liegen seit Januar 2019 vor. Bis heute haben #BRG, CDU/CSU u.SPD kein Kohleausstiegs-Gesetz vorgelegt. Das ist unverantwortlich gegenueber den Menschen in den Regionen u. dem #Klimaschutz. @Oliver_Krischer @wibkegt;8;34;20299;Bielefeld/Berlin;Kohle;negative;21;25
Britta Hasselmann;BriHasselmann;TRUE;2020-02-02T15:50:06Z;Die #CSU stellt sich mit ihrer Kampagne gegen ein #Tempolimit ins Abseits. In Oesterreich, Schweiz, Niederlande, Frankreich, Italien u. vielen Laendern ist ein Tempolimit laengst Normalitaet. Im Jahr 2020 mit ner Kampagne von 1974 zu kommen-eine Lachnummer;41;264;20299;Bielefeld/Berlin;Tempolimit;negative;52;61
Britta Hasselmann;BriHasselmann;TRUE;2020-02-05T15:02:41Z;Ob der Ostbeauftragte der Bundesregierung,Mitglied der CDU weiss,welcher Tabubruch in Thueringen stattgefunden hat?!Und welchen schweren Schaden CDU und FDP in Thueringen der Demokratie zugefuegt haben, gemeinsam mit Feinden der Demokratie #Kemmerich ins Amt gewaehlt zu haben. #NoAFD;5;40;20299;Bielefeld/Berlin;Thueringen;negative;87;96
Britta Hasselmann;BriHasselmann;TRUE;2020-02-09T18:09:40Z;Es ist verantwortungslos, was CDU und FDP in Thueringen gemacht haben, ein grosser Schaden fuer unsere Demokratie. Jetzt irgendwelche FDP- CDU-Politiker*innen anzugehen, ist unertraeglich! Lasst uns Demokrat*innen zusammenstehen gegen die Feinde der Demokratie #NoAFD;26;216;20299;Bielefeld/Berlin;Thueringen;negative;46;55
Britta Hasselmann;BriHasselmann;TRUE;2020-03-06T10:04:47Z;Was sich an der tuerkisch-griechischen Grenze abspielt, ist ein Tiefpunkt europaeischer Fluechtlingspolitik. Dass Union und SPD keine Bereitschaft zeigen, wenigstens besonders Schutzbeduerftige aufzunehmen, deprimiert. #HumanitaereFluechtlingspolitik #Seebruecke;14;61;20299;Bielefeld/Berlin;Fluechtlingspolitik;negative;89;107
Britta Hasselmann;BriHasselmann;TRUE;2020-06-27T11:35:41Z;Eine echte #Wahlrechtsreform sieht anders aus. Was daran soll Reform sein? Begrenzung auf 750 Abgeordnete? Offenkundig fehlt der Union und der Koalition insgesamt die Kraft fuer eine dringend notwendige Wahlrechtsreform. Die Zeit laeuft uns davon.;36;177;20299;Bielefeld/Berlin;Wahlrechtsreform;negative;13;28
Britta Hasselmann;BriHasselmann;TRUE;2020-08-25T05:30:06Z;Die Koalition liefert ein peinliches Schauspiel bei der #Wahlrechtsreform. Wenn sie nun auf den letzten Druecker versucht, nur den kleinsten gemeinsamen Nenner zu finden, verheisst das nichts Gutes.;28;157;20299;Bielefeld/Berlin;Wahlrechtsreform;negative;58;73
Britta Hasselmann;BriHasselmann;TRUE;2020-11-21T15:50:17Z;Inzwischen kommen taeglich neue Berichte ueber die #Parteispendenaffaere der AfD. Erst ueber Strafen gegen Alice Weidel dann ueber die offensichtliche Parteienwerbung im Deutschland-Kurier. Die AfD hat getrickst, getaeuscht u.gegen Recht u.Gesetz verstossen. Jetzt folgen Strafzahlungen;23;284;20299;Bielefeld/Berlin;Parteispendenaffaere;negative;53;72
Britta Hasselmann;BriHasselmann;TRUE;2020-12-09T14:24:06Z;Was sich Union und SPD beim #Lobbyregister leisten, ist zum Fremdschaemen. Ein unwuerdiges Schauspiel: Erst gross ankuendigen und dann auf Zeit spielen. Wir koennen es uns nicht leisten beim Thema Lobbytransparenz weiter Zeit zu verlieren.;14;93;20299;Bielefeld/Berlin;Lobbyregister;negative;30;42
Matthias Buttner;Buettner_MdB;TRUE;2017-11-29T15:38:42Z;Tat von #Altena ist schaendlich verachtenswert. Punkt. Keine Frage. Jetzt aber so zu tun, als ob ausgerechnet Politiker am staerksten gefaehrdet seien, ist blanker Hohn! Wer schuetzt die Buerger, die sich tagtaeglich Gewalt ausgesetzt sehen? #AfD #Maischberger;204;505;2385;Stendal, Deutschland;Gewalt;negative;218;223
Matthias Buttner;Buettner_MdB;TRUE;2019-11-20T18:43:12Z;In der Zentralen Anlaufstelle fuer Asylsuchende in #Halberstadt haeufen sich seit Wochen die Konflikte und koerperlichen Auseinandersetzungen. Es muss gelten: Wer gewalttaetig wird, hat sein Gastrecht verwirkt und muss schnellstens in den Abschiebeflieger!;1;6;2385;Stendal, Deutschland;Asylsuchende;negative;36;47
Matthias Buttner;Buettner_MdB;TRUE;2020-02-24T12:35:03Z;Mit Schmierereien faengt es an, am Ende brennen Strassenzuege, Polizisten werden mit Steinen und Glasflaschen beworfen. Was der #Linksextremismus anrichtet, kann man seit Laengerem in Leipzig-#Connewitz erleben. So weit darf es in #SachsenAnhalt nicht kommen!;2;6;2385;Stendal, Deutschland;Linksextremismus;negative;130;145
Matthias Buttner;Buettner_MdB;TRUE;2020-10-15T11:18:11Z;Statt weiter in blinde Panik zu verfallen, taete die Bundesregierung gut daran, endlich die Corona-Hysterie zu beenden. Wie lange laesst sich der 🇩🇪 Michel diese staendige Bevormundung durch die Politik eigentlich noch gefallen? ➡️;1;4;2385;Stendal, Deutschland;Corona-Hysterie;negative;93;107
Cansel Kiziltepe;CanselK;TRUE;2018-04-18T12:19:59Z;Zutiefst erschrocken ueber den hemmungslosen antisemitischen Angriff in #Berlin. Wenn Juden bei uns zu Freiwild werden, ist das ein Angriff gegen uns alle. #Antisemitismus bekaempfen. Klare Antwort des Rechtsstaates gefragt. #GenugIstGenug #NullToleranz;7;35;7155;Berlin;Antisemitismus;negative;158;171
Cansel Kiziltepe;CanselK;TRUE;2018-09-12T10:02:20Z;Die Forderung der @SPD nach einem #Mietenstopp ist ein guter Anfang! Wir muessen jeden Stein umdrehen, alles neu denken, um DIE soziale Frage unserer Zeit zu loesen. Wir brauchen ein Grundrecht auf bezahlbaren Wohnraum! @PlattformPRO;0;10;7155;Berlin;Mietenstopp;positive;36;46
Cansel Kiziltepe;CanselK;TRUE;2019-08-22T13:44:24Z;Grosser Erfolg: Mehr Macht fuer Arbeitnehmer*innen! @BGH_Bund staerkt #Mitbestimmung. Endlich wird #Leiharbeit bei der Bildung von paritaetischen Aufsichtsraeten mitgezaehlt👍🏽. Was wir noch brauchen ist: Echte Paritaet! #Wirtschaftsdemokratie @afaspd;2;9;7155;Berlin;Paritaet;positive;211;218
Cansel Kiziltepe;CanselK;TRUE;2019-10-12T07:30:47Z;Das @Forum_DL21 hat in der Vergangeheit stets fuer eine starke #Sozialdemokratie und fuer unsere Grundwerte gestritten und gekaempft und Verantwortung bewiesen. Heute in #Muenchen uebernehmen @HildeMattheis und @DierkHirschel grosse Verantwortung fuer #unsereSPD. Respekt! @spdde;12;69;7155;Berlin;Sozialdemokratie;positive;65;80
Cansel Kiziltepe;CanselK;TRUE;2020-01-07T11:57:42Z;Das ist eine gute Basis fuer die #Erwerbstaetigenversicherung in 🇩🇪 in die Alle einzahlen! Bei einem Rentenniveau von mindestens 50 fuer eine starke gesetzliche #Rente, die annaehernd den Lebensstandard sichert. In die auch junge Menschen Vertauen setzen koennen. @jusos @NowaboFM;2;18;7155;Berlin;Rente;positive;102;106
Cansel Kiziltepe;CanselK;TRUE;2020-08-20T19:21:37Z;Erst reden sich #startups damit raus, sie seien zu frisch und risikobehaftet. Doch auch wenn sie erfolgreich werden, stemmen sie sich offenbar gegen #Mitbestimmung! #wirecard-ein spektakulaerer Fall. Kein Einzelfall @n26 Daher: Staatsgeld nur da, wo Respekt ggue Arbeitnehmerschaft!;5;28;7155;Berlin;wirecard;negative;167;174
Cansel Kiziltepe;CanselK;TRUE;2020-09-22T07:47:58Z;Wie kann man in einem Interview soviel Unsinn verbreiten? Wie das geht, zeigt uns @_FriedrichMerz! Der Fokus ist auch hier der falsche. Richtig waere: Erbschaften: Leben ohne Arbeit! #Erbschaftsteuer #Homosexualitaet #Merz;0;6;7155;Berlin;Erbschaftsteuer;negative;185;199
Caren Lay;CarenLay;TRUE;2017-12-13T14:35:10Z;Die #AfD hat sich heute im #Bundestag als Opfer linksextremer Gewalt inszeniert. Doch die eigentlichen Brandstifter sitzen in ihren eigenen Reihen. Rassistische Gewalt ist die groesste Bedrohung fuer unsere Demokratie.;68;195;9763;"";AfD;negative;6;8
Caren Lay;CarenLay;TRUE;2018-02-24T08:09:57Z;Die Augrenzung von MigrantInnen von der #EssenerTafel ist inakzeptabel und rassistisch. Wir duerfen nicht zulassen, dass die Aermsten gegeneinander ausgespielt werden. Es ist genug Essen fuer alle da! #LINKE;74;340;9763;"";Augrenzung;negative;5;14
Caren Lay;CarenLay;TRUE;2018-06-08T05:31:36Z;Das #Baukindergeld ist eine kostspielige Subvention der Bauwirtschaft, die die Wohnungsnot in Staedten nicht beseitigt. Es darf nicht das dringend benoetigte Geld fuer sozialen Wohnungsbau auffressen!;6;23;9763;"";Wohnungsbau;negative;178;188
Caren Lay;CarenLay;TRUE;2018-07-06T10:03:04Z;Viele Laender zweckentfremden Mittel fuer Sozialen Wohnungsbau und stopfen damit Haushaltsloecher oder finanzieren Eigenheime. Das ist nicht akzeptabel, denn bundesweit fehlen ca 4 Millionen #Sozialwohnungen!;26;68;9763;"";Wohnungsbau;negative;52;62
